score,ok,streak,height,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
79.33308328578333,True,39.67991496992887,39.65316831585446,15.706375994104633,51.173877295672476,43.99491270004741,54.688415803131704,41.200788955349715,38.76327452041203,61.29322659049742,37.788579374241856,41.8329073088516,50.6639966408575,65.55880456868181,-37.45835202662486,-8.21285936940117
75.25090343528066,True,35.345382424977885,39.90552101030278,14.932890917363949,49.2533227442407,41.13769785755026,54.171319740060824,40.81857240274095,37.64740586563095,61.47414735325769,38.01337446819524,39.75102062068315,49.31173456104381,64.96456844366857,-38.05864838396598,-7.9250415177895235
71.38696994663668,True,31.36528624900936,40.021683697627324,17.498288028071247,49.915683505369465,40.470372727382966,56.21760613631512,39.41805257191157,40.460505838374225,62.608317170191256,38.80205552825508,38.42264697749169,48.63460050966505,65.1370382222063,-38.95375349045859,-7.748733839904906
71.34327558498828,True,39.2272304532781,32.11604513171017,15.160617296935643,51.28518314271949,42.21363091960568,55.05464484821691,41.802702122389846,36.962795577447736,60.299871402712235,38.08946684098824,39.34976602125558,50.11064655058842,63.262521305073115,-37.55213010070555,-9.774601685785532
69.03762756941177,True,23.409495245194716,45.628132324217056,14.180420651998865,50.64796882518466,41.20275466081592,53.04391627573137,40.21910394975589,37.848944068528255,60.697831226666345,38.23861006489986,39.503256233011115,48.52301755529902,66.90867233108452,-36.820615022792516,-5.342385536953865
68.01037400739038,True,38.03870667016035,29.97166733723003,16.00092388100404,49.44481906282885,43.412977068978186,55.805005844708624,41.34757144039898,39.80316945486305,63.41470909676464,38.26160834431505,40.65943455071335,47.61786359382083,66.41975740638722,-38.87922462148718,-8.193167276925262
68.00057982562151,True,33.262990496827584,34.73758932879394,14.907425386335568,52.408463768042076,42.75371219360017,55.25114208241607,40.913047012543984,36.909403573333485,60.608395291607756,37.76637004565417,39.42062536607399,50.16407727125581,64.24436889299976,-38.39735260009541,-7.286814907027854
66.68867604490023,True,25.442185306393505,41.24649073850672,13.26316103642665,51.210257829898296,41.737032206422185,55.47966708093671,39.625821936180685,37.68332100562161,62.90785343084061,35.632447936075415,39.798303413017834,49.63889612627054,63.74242618243132,-38.46431990074488,-6.619341289159484
65.1296408338055,True,28.850585149348007,36.27905568445748,14.206429106638451,50.4983913044474,43.48224708119841,56.69755966158664,40.668027899682,39.68224131809852,63.54133174677551,35.400136728613795,39.64855380828684,49.271338076821245,65.29360760745331,-37.23782729615742,-9.059854489103934
64.94515661103507,True,29.35888178203226,35.58627482900282,15.381809273877678,51.80015843377262,42.565703703241745,55.75060929104705,41.47709584510387,39.3191126592976,63.222276678885656,36.391487802443315,40.98883241293305,49.47462176863834,65.59869774729222,-38.963233806139925,-8.81104104996136
