score,ok,length,height,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
37.49178609924912,True,13.589937500734301,23.901848598514817,15.356494014929023,49.05098647719415,39.516374413540255,55.47578600450131,39.577014291578905,39.565364894825564,63.712391702100376,37.46197462854391,39.46196573228311,49.47037099763651,66.40480032979801,-39.784028427104836,-6.201867959768191
36.98224026206696,True,11.843125562300308,25.13911469976665,15.049049137853823,48.25716317036301,43.440332976536396,56.95345222439032,41.986783834588294,37.71911837709132,60.96225708937408,34.85835275965627,40.51598972027157,48.08178439008524,64.21822223722272,-38.31098327488935,-6.154344735265564
36.97378729943838,True,31.493725183775148,5.48006211566323,14.558065884241799,49.3045390165054,43.43891634029718,54.39785259616901,40.996623093447305,39.872877798818116,60.075152266766345,38.041158172935575,40.96776942351404,49.50932849732771,66.63540849390785,-36.75112433715042,-9.242769559923182
35.54215119366523,True,4.559952539045739,30.982198654619488,14.233927296407737,51.26450543648013,40.22290551969575,56.12640065464986,40.655653875704736,38.78959017090292,62.09097786283823,34.951155899893294,37.63840467986493,47.823834851277304,66.42159989272714,-38.28963077732239,-8.543411318492833
33.72247108426009,True,16.049616183227258,17.672854901032835,14.056674743206628,48.35901359152392,41.098044681155706,53.96666783076461,38.189976587881034,38.51697824089735,60.83123826636322,37.04233313672653,39.516758193172436,50.00216252074397,66.3301746932507,-37.13602623987075,-6.283637225730439
33.43365394602959,True,25.436450732418216,7.997203213611371,15.768740690281792,50.702830627251096,40.663425913717475,55.866142776177625,39.95865141349726,39.16535661718755,60.37401145080627,38.274651704701085,38.19700011943801,50.91250294702811,67.44501736381487,-39.92998217673335,-7.964116708145611
33.057471644480074,True,16.184921452123287,16.872550192356783,13.419665884274789,51.343284799199886,41.73410898598374,56.311068434084675,40.604905835731145,40.02265670432328,61.85717725943902,34.713257308511395,40.59079020828341,49.99306148089482,65.71188420944982,-37.85920074308092,-7.1628020427826
29.943205799531725,True,8.1003815740887,21.842824225443024,14.493397140060146,51.82466105901443,43.037066222101785,57.047849069883085,40.62358321547632,40.95369554983754,63.662797193352965,36.89691259275186,40.27829032780459,47.197904137774266,66.62940987380999,-38.19655830815691,-6.789327963037117
28.822146085828976,True,6.457055533126933,22.365090552702043,15.818614651252329,49.22959131167259,39.58714953643427,55.7932409788623,40.797853048061384,38.980063488515974,60.92902448856355,37.36942019535072,41.10064331204349,47.90714429297875,63.83638969349333,-38.64779371862613,-8.117772616078856
28.500017887318027,True,15.806325730213135,12.693692157104891,13.16259793566369,48.139417542935924,39.75031977305824,57.48030688351404,39.12806380972092,40.28914721795474,63.49420715587188,36.05627813228888,38.48925865098747,50.83075842123516,66.1679139269467,-38.95131010572798,-6.933457014275272
28.25829066304017,True,3.6491263070873856,24.609164355952785,14.552327789690551,48.89433213444016,41.904243588481904,53.84184655956853,39.30608520497007,39.142762508350714,63.73575988758674,37.27830255745087,40.935096116136236,48.90121688027018,64.63907238683112,-39.011766462645504,-5.957543080693181
27.254866254426272,True,7.484373609400503,19.77049264502577,13.645864239523517,49.72608727199056,41.56242023121744,55.15646457735528,38.88297866453573,38.574102273350775,62.78860334056474,34.77793171220958,39.61620099123331,48.76183240721081,63.772327923308154,-38.67400844343204,-7.3042917044325435
27.015141840386164,True,0.0,27.015141840386164,16.39473470492181,51.491563945056214,39.587242040850136,53.92897397354841,40.938047139754616,40.88278607738761,61.793073110827244,37.048705961997044,37.400714751277505,48.56608438283916,67.40730909491064,-36.697643174890835,-6.378149304743069
26.64800171438756,True,10.158496121080788,16.489505593306774,14.33006879945844,51.203294275586764,43.38662915592863,55.38335398027779,39.705547271470806,41.08718802585957,62.79919466253686,35.380014639887584,37.908153469191454,47.60460280152596,67.31940838293296,-36.77399207187121,-9.215302765024504
26.003920826741634,True,6.6619704242929885,19.341950402448646,16.20651436628556,48.33497010493807,42.9249145454886,54.066490139497844,41.55109987621539,39.1150940838917,61.25660710913854,36.912256473832144,41.10667713628491,48.071438986709815,64.21689919958132,-37.89233989389131,-8.846255322154583
24.956944403183005,True,22.809508661239324,2.1474357419436814,13.061384469820078,50.93232153372925,41.704196512045016,54.557825985975114,39.99904255407094,41.03857135912941,60.32512538010836,37.97568056136686,39.12871034313766,48.98000629383046,67.03845573332089,-38.42765569775366,-7.773256191379337
23.365567917831648,True,10.029818292234301,13.335749625597344,15.900773081789511,50.22590249960885,40.803928604195455,55.87339485081215,40.32176749952099,40.4370899014619,60.32443766841971,36.94118453433581,38.39397728417236,48.10766828185913,66.78904439502196,-37.96914403283072,-7.5530824533740955
22.929959909539434,True,6.8055749341974945,16.12438497534194,15.09502913811407,50.017484205021844,42.8397503737481,57.01871042299508,41.40563648600792,39.63624606722495,63.47131894562203,37.431581478002,40.17330454119711,47.91976288214599,63.824642105158034,-39.46762720831872,-8.357170094266055
22.5401262069594,True,14.0130068746613,8.5271193322981,13.264201424888608,50.947153314169,40.50877412585076,54.097799999896694,39.162232888781595,40.21734015215758,60.72087010832834,37.659314365682974,41.30294037641108,48.97579511539731,65.23024190892994,-38.083959343717495,-7.065213749190594
22.52955208037333,True,7.535884705780667,14.993667374592661,13.362858032426091,49.36782093512637,39.864377359130614,54.75650632286981,39.13343027261968,39.57847096926396,63.44900583684688,37.69863043041872,39.05112663456314,48.65553428965332,65.79667257100358,-38.49253674536229,-8.447187597986728
21.795821949627893,True,5.6633902631069475,16.132431686520945,13.248238071744021,49.11006538791301,43.37074105024771,54.303495207034146,40.11358299044447,39.81850762338375,63.351445396203765,35.563852563279816,38.484083524250686,47.993814599053884,65.29902854698275,-38.216566430573565,-5.984225698947429
19.153203532436926,True,5.223005250207841,13.930198282229085,13.437805860317136,48.64579636639044,39.70151886883813,54.607072995074,39.34796961631391,38.5200215915169,62.937993019994245,35.859843338897434,39.40035439944736,47.711599536851715,65.08800408851144,-39.927347570821674,-8.79820497521909
18.343162326816348,True,4.571564368715336,13.771597958101012,14.51447766539833,49.49553447917053,40.8267899585496,54.477043769030495,38.11148289675242,38.419225713037335,61.30586744010994,38.52205932990231,37.89483312848594,50.85708486315027,64.52960973322779,-38.5734831163665,-6.513705530503415
17.119621856308193,True,6.4716636311130245,10.647958225195168,13.652986081105503,48.33793949083172,42.865075927403026,57.28215128499099,40.78217319163471,38.42773312922652,60.86885173596995,35.872233970321346,39.23781177357888,47.630131759316825,65.48329843293496,-38.94702773201044,-5.952853866549546
17.05241019576058,True,8.985041698346073,8.067368497414506,15.229286809828162,49.57747111081309,40.16932987103477,54.44662784562023,38.93149008454695,40.923839640969824,61.888303141307425,35.58010100880224,41.02503756084544,50.98590045449876,65.49984177432725,-39.44161574400111,-9.03037161695702
15.025804178459808,True,0.0,15.025804178459808,16.304621007260884,48.844169349312594,40.507339245461814,54.97186661068087,39.06215757023334,39.64574867266384,60.93745918108084,36.376050211018175,37.92429470601393,50.640068225262226,65.11513609581304,-38.167356054113064,-7.4666049118326
12.674770157961149,True,4.842377191467136,7.832392966494012,16.279590770799473,51.8724330066028,41.297803878604384,54.874628960694324,38.93934887994989,41.08234910757947,60.74283519013562,37.0258894708843,37.96696271143812,49.096262850219276,67.51096134661299,-39.4695797084759,-6.519131957540864
11.444651238117785,True,5.0340123542667925,6.410638883850993,13.000933127605427,48.60505972911771,39.90585747209039,55.254439688138284,38.202003546664585,40.79732950949528,62.35627595115391,35.29420194132357,38.409031026228305,48.389558184214806,65.15665375811314,-39.50863107695122,-6.40425229406154
10.38163149527014,True,7.143804783462754,3.2378267118073865,13.090251712222354,49.84678114519906,40.17219351562618,54.26838317792692,38.335817677325245,40.37293195389008,60.41736088807473,35.69045933478766,38.96379881253291,50.4856878965052,64.02232520480055,-38.20325039620268,-7.60224036342385
8.823739096601434,True,2.5314583454474953,6.292280751153939,13.89216669241274,51.24604498709438,43.439704202363565,57.21051519498664,41.324314339142674,40.57333177330149,62.85949208150286,35.606957960126344,39.47055489697402,48.42225017341983,63.81592060296546,-39.88825169831174,-8.68232584380388
